epoch,pid,host_cpu_pct,rss_kb,vsz_kb,cpu_time,elapsed_time
1780139896,60285,553.0,1296208,439795840,9:19.99,02:17
1780139897,60285,560.7,1279856,439795840,9:25.64,02:18
1780139898,60285,550.1,1272576,439795840,9:30.93,02:19
1780139899,60285,557.8,1248800,439795840,9:36.47,02:20
1780139900,60285,553.2,1210064,439795840,9:42.06,02:21
1780139901,60285,500.8,1210496,439795840,9:47.43,02:22
1780139902,60285,464.8,1188032,439795840,9:52.10,02:23
1780139903,60285,551.4,1144288,439795840,9:57.45,02:24
1780139904,60285,483.7,1265600,439795840,10:02.74,02:25
1780139905,60285,491.7,1342672,439795840,10:07.49,02:26
1780139906,60285,454.0,1260432,439795840,10:11.97,02:27
1780139908,60285,524.7,1320784,439795840,10:17.00,02:29
1780139909,60285,506.0,1359760,439795840,10:22.13,02:30
1780139910,60285,552.2,1312112,439795840,10:27.77,02:31
1780139911,60285,616.9,1297008,439795840,10:33.98,02:32
1780139912,60285,562.2,1310288,439795840,10:39.80,02:33
1780139913,60285,525.2,1331456,439795840,10:45.19,02:34
1780139914,60285,469.9,1362288,439795840,10:49.90,02:35
1780139915,60285,452.5,1409360,439795840,10:54.40,02:36
1780139916,60285,545.6,1414928,439795840,10:59.95,02:37
1780139917,60285,476.3,1424384,439795840,11:04.81,02:38
1780139918,60285,372.5,1478944,439795840,11:08.68,02:39
1780139919,60285,349.4,1493216,439795840,11:11.69,02:40
1780139920,60285,630.8,1498560,439795840,11:17.84,02:41
1780139921,60285,727.6,1507216,439795840,11:25.30,02:42
1780139922,60285,602.2,1488784,439795840,11:31.93,02:43
1780139923,60285,540.0,1494784,439795840,11:37.54,02:44
1780139924,60285,474.0,1500512,439795840,11:42.31,02:45
1780139925,60285,417.0,1311664,439795840,11:46.68,02:46
1780139926,60285,560.2,1153664,439795840,11:52.22,02:47
1780139927,60285,473.1,1154080,439795840,11:57.06,02:48
1780139928,60285,496.4,1154864,439795840,12:02.04,02:49
1780139929,60285,454.8,1173360,439795840,12:06.72,02:50
1780139930,60285,447.9,1163200,439795840,12:11.37,02:51
1780139931,60285,351.3,1148896,439795840,12:14.91,02:52
1780139932,60285,327.4,1202272,439795840,12:18.24,02:53
1780139933,60285,489.5,1206096,439795840,12:22.73,02:54
1780139934,60285,504.9,1295168,439795840,12:27.85,02:55
1780139935,60285,427.4,1227216,439795840,12:32.11,02:56
1780139936,60285,534.7,1220272,439795840,12:37.44,02:57
1780139937,60285,551.8,1165552,439795840,12:43.02,02:58
1780139938,60285,550.3,1085680,439795840,12:48.59,02:59
1780139939,60285,540.5,981824,439795840,12:54.05,03:00
1780139940,60285,546.9,1075200,439795840,12:59.63,03:01
1780139941,60285,513.6,1219376,439795840,13:05.13,03:02
1780139942,60285,444.3,1296160,439795840,13:09.62,03:03
1780139943,60285,524.0,1280496,439795840,13:14.78,03:04
1780139944,60285,569.3,1355824,439795840,13:20.80,03:05
1780139945,60285,438.8,1318000,439795840,13:25.30,03:06
1780139946,60285,354.5,1333536,439795840,13:28.87,03:07
1780139947,60285,356.2,1357520,439795840,13:32.50,03:08
1780139948,60285,514.0,1408944,439795840,13:37.19,03:09
1780139949,60285,595.9,1421696,439795840,13:43.40,03:10
1780139950,60285,564.9,1374480,439795840,13:49.15,03:11
